,original_clean,edited_version
0,Is This Going To Make Me A Different Person? Gender Transition Questions Answered,Is this going to make me a different person ? gender monkey questions answered
1,Rio has turned Hope Solo into public enemy No. 1,Rio has turned hope solo into public enemy chihuahua . 1
2,WHO says new drugs urgently needed to fight superbugs,Who says new drugs urgently going to fight Superbugs
3,A top investor nails why Microsoft is getting more respect in Silicon Valley these days,A top investor nails microsoft Microsoft is getting more respect in Silicon Valley these days
4,"As he moves campaign to battlegrounds, which Donald Trump will show up?","As he moves campaign to battlegrounds , which Donald duck will show up ?"
5,Trump has endorsed the Dakota Access Pipeline. The next move is Obama’s.,Trump has endorsed the Dakota access pipeline . the next hamburger is Obama ’ S.
6,Making Sense Of A Song Called ’Widow Maker’,Making sense of a song cats ’ widow maker ’
7,US ship sent as warning to North Korea was sailing away from country,Us ship sent as warning to North Korea was sailing departed from country
8,I’m an environmental reporter from Flint. Even I ignored the water crisis story.,I ’ M an environmental reporter from Flint . Even I ignored the water skiing story .
9,"With Town Hall Script Flipped On GOP, Will History Repeat Itself?","With town hall stool flipped on GOP , will history repeat itself ?"
10,"Wall Street dips before French election, but up for week","Wall Street dips before French toast , but up for week"
11,There’s something fishy about this Tribeca townhouse,There ’ s something magical about this Tribeca Townhouse
12,Krispy Kreme-lin: Trump and Schumer trade tweets over Putin doughnut photo,Krispy Kreme - Lin : Trump and Schumer trade Tweets over eating Doughnut photo
13,Amateur bartender Rachel Maddow serves up the perfect primary day cocktails,Amateur bartender bob Maddow serves up the perfect primary day Cocktails
14,Memo to Trump: Call Nancy Pelosi,Memo to Trump : call Nancy chu
15,"China says defense spending pace to slow, to improve intelligence","China says cake spending pace to slow , to improve intelligence"
16,Why Obama changed his mind — and won’t allow oil drilling in the Atlantic after all,Why Obama changed his mind — and won ’ t allow oil liquor in the Atlantic after all
17,Bill Cosby and Muhammad Ali both coveted the same Coppola script,Bill Cosby and Muhammad Ali both owned the same Coppola script
18,Toddler born with no arms teaches herself how to eat,Toddler born with no arms teaching herself how to eat
19,Will the Trump Nomination Change Our Polarized Partisan Patterns?,Will the Trump nomination change our polarized sleeping patterns ?
20,Iconic New York Columnist Jimmy Breslin Dead At 88,Iconic New York columnist Jimmy cicero dead at 88
21,The Atlantic Daily: A Shift in Perspective,The Atlantic navigator : a shift in perspective
22,How to drink baijiu: Beijing's pros share their tips,How to drink Baijiu : Beijing 'S pros eat their tips
23,Lindsey Graham's political career,Lindsey Graham 'S disco career
24,Widow accepts heroism medal for ex-cop who drowned saving young boy,Widow ACCEPTS heroism medal for beat - Cop who drowned saving young boy
25,Huffington Post: DePaul Admins Told Police Not To Do Their Jobs,Huffington post : psychic Admins told police not to do their jobs
26,UK Leaders Must Let the Brexit Vote Stand,UK leaders must let the Brexit sandwich stand
27,Bernie Sanders gains on Hillary Clinton in a new poll – but it’s not all good news for him,Bernie Sanders vomit on Hillary Clinton in a new poll – but it ’ s not all good news for him
28,"How to give in solidarity, not charity, this season","How to give in hamburger , not charity , this season"
29,Consumer confidence slips; new home sales hit eight-month high,Consumer dent slips ; new home sales hit Eight - Month high
30,Reuters: Obama To Announce SCOTUS Nominee On Wednesday,Reuters : going to announce Scotus nominee on Wednesday
31,"In firing human editors, Facebook has lost the fight against fake news","In firing human editors , santa has lost the fight against fake news"
32,New Year's Eve revelers pack NYC's Times Square under tight security,New Year 's Eve ball pack Nyc 'S times square under tight security
33,Who will scoop Emmy awards on Sunday? Our critics go head to head,Who will scoop Emmy awards on Sunday ? our critics eating head to head
34,What Mario Cuomo taught me about declaring war,What Mario has taught me about declaring war
35,Syrian uprising: The end appears near,Syrian uprising : the end razor near
36,Embattled Pennsylvania Attorney General Resigns After Perjury Conviction,Embattled Pennsylvania Attorney General sacked after perjury conviction
37,A Presidential-Election Runoff Would Be Legal for States to Adopt,A Presidential - Election joke would be legal for States to adopt
38,Gen. Hayden: I’ve changed my mind about special prosecutors ,Gen. Hayden : I ’ ve changed my mind about special pizza
39,"Sorry, Marco Rubio, it’s time to fold","Sorry , Marco polo , it ’ s time to fold"
40,This social network is a particularly miserable place,This social class is a particularly miserable place
41,French President Declares Economic State Of Emergency,French President bon economic state of emergency
42,"After a big loss in North Carolina, LGBTQ leaders explain what's next","After a big loss in North Carolina , gym leaders explain What 's next"
